IlmnID,CHR,MAPINFO,UCSC_RefGene_Name,UCSC_RefGene_Accession,UCSC_RefGene_Group,Relation_to_UCSC_CpG_Island,Regulatory_Feature_Group,coef,pval,r2,pcc,fdr_bh,bonferroni
cg10272901,21,46677879,,,,Island,,1.315848922821682,7.84420978239425e-11,0.22100009973934187,0.1921210816012608,3.411509588041519e-05,3.411509588041519e-05
cg12354056,3,186136503,,,,,,1.125601868601575,7.49763348224233e-10,0.2180848071314454,0.1824517545561911,0.00016303903912475237,0.00032607807824950474
cg18461548,8,37701921,BRF2,NM_018310,3'UTR,S_Shore,Gene_Associated_Cell_type_specific,1.178649805325294,2.715481159098444e-09,0.21642135852707423,0.18919734048982997,0.0003936614933137287,0.0011809844799411861
cg00695821,3,156124891,KCNAB1;KCNAB1;KCNAB1,NM_003471;NM_172159;NM_172160,Body;Body;Body,,,1.3539158678679748,3.806444343943316e-09,0.21598472213038122,0.2147301738800121,0.00041386327418392496,0.0016554530967356998
cg22822893,6,151662789,AKAP12;AKAP12,NM_144497;NM_005100,Body;Body,Island,,1.0564292795851926,7.393294074411019e-09,0.21512632356354155,0.1707686341620772,0.0006430805478627894,0.0032154027393139473
cg02566611,16,83948975,MLYCD,NM_012213,Body,,,0.9863230750956253,5.610165719878041e-08,0.21250579093768962,0.1599298489451685,0.003525172398204265,0.02439905952900719
cg20741134,1,181382639,,,,Island,,0.9760487408942762,5.673891210883649e-08,0.21249118781406295,0.15835701335148156,0.003525172398204265,0.02467620678742986
cg04027328,1,11372138,,,,,,1.290207801266224,6.808431508280347e-08,0.21225551716271707,0.2014062401593128,0.0037013016630039865,0.029610413304031892
cg16425726,4,83680145,SCD5;SCD5,NM_001037582;NM_024906,Body;Body,,,0.9553627765947703,1.1541191547365751e-07,0.21157328391496133,0.15452554265754745,0.00545766989058941,0.05019356533481744
cg21368479,6,149415018,,,,,,0.9959855974334322,1.2549021610523168e-07,0.21146507332848674,0.1595786902611397,0.00545766989058941,0.054576698905894096
