sample01	sample02	sample03	sample04	sample05	sample06	sample07	sample08	sample09	sample10
cg13869341	0.828834466130772	0.85863205454556	0.877126132547917	0.761376812486413	0.842366667778432	0.828452106350798	0.778500745303825	0.846583490194241	0.830623532592268	0.828403086538506
cg14008030	0.637322927525179	0.634516261358033	0.611672274887026	0.611400473338124	0.650994446526866	0.662396396558817	0.648792579380241	0.717455059289465	0.672287376921258	0.619330503189359
cg12045430	0.0590828879151549	0.06010365379368	0.070614635346479	0.037547673061313	0.0477236870910509	0.0510214371881187	0.0345359895254942	0.0900286826215031	0.0532723560376252	0.0589729183550502
cg20826792	0.243065490260254	0.214826503782325	0.255186700266447	0.152705936544962	0.252230168596819	0.185517334850894	0.156965917949262	0.239154438957413	0.155441981387402	0.165561165524872
cg00381604	0.0396933186370046	0.034556582724227	0.0547359385873869	0.0301163670097896	0.0302363576879606	0.0412506914770154	0.0369312736576272	0.0547941528815345	0.0301722645092098	0.0393916015010698
cg20253340	0.612526679957859	0.604530047136309	0.679335794691092	0.646414732480509	0.871373228057318	0.736843698629607	0.730137086978254	0.674653445653813	0.696862854029397	0.789537629321392
cg21870274	0.765463635645856	0.846540609358507	0.838091597235495	0.695345159094384	0.858381478268435	0.852023000293142	0.856675652518659	0.849444205969827	0.860628786397365	0.842422886381131
cg24335620	0.857824160875867	0.879940595712656	0.900559995137207	0.874697512926247	0.925707348485951	0.941090604149173	0.866921041187588	0.887997244436339	0.939001264544285	0.846877501992117
cg16162899	0.499248002432969	0.881944211022708	0.908193312923678	0.832592665150493	0.914879275681807	0.898554340833166	0.815032246997348	0.813060758649813	0.876340869933934	0.899590891020972
cg17149495	0.86562188458787	0.920369821530008	0.877862118403876	0.863360059637795	0.853166628623507	0.674436979066782	0.877604192204931	0.927172923964226	0.832251291636447	0.777967151608422
cg22802167	0.936057112406974	0.926192579611281	0.919041957272337	0.903923093793175	0.899113433535516	0.924022237567772	0.940979458090261	0.935444508958193	0.920918769162724	0.920427493505199
cg24669183	0.886223447890173	0.878326018515212	0.897678523355148	0.840824511790043	0.917663904053547	0.902076169992914	0.885290791530166	0.889398873317616	0.920113970124846	0.930376079472132
cg17308840	0.277896896415936	0.421594842850517	0.368326518221959	0.279012534796115	0.40564187455589	0.466284521817206	0.323142918686765	0.350000773021367	0.288152052228531	0.298133359295004
cg17866181	0.923822549405902	0.926341829057936	0.92689772071243	0.86711733646447	0.933336448593218	0.894736984824827	0.920275446499541	0.938766543977958	0.883057338692227	0.916902592460196
cg24159721	0.225862969141247	0.231461556534289	0.240064533904244	0.160660428950557	0.16482172591403	0.184242148036916	0.180483129262243	0.184857559165222	0.196847636669078	0.194440163040025
cg15174812	0.290622584829181	0.272994805412274	0.290482063918722	0.168458554863178	0.189433913307493	0.144915065988586	0.146524887022914	0.133585418037637	0.264652342403804	0.155052688696068
cg00034556	0.409724060556518	0.380141803052622	0.392124429151952	0.313749836729976	0.255213308245853	0.377982685878542	0.324667127163244	0.360494964970285	0.321393643734579	0.260464110356545
cg00645010	0.231333507369457	0.216630064235547	0.178200202255718	0.148164220190078	0.153175685958899	0.096928289258911	0.145819921636064	0.161187344626252	0.195805722131814	0.117491238195352
cg15394630	0.346107269003698	0.370235810964045	0.340284365290195	0.530939273543411	0.238122398144386	0.248939068955787	0.288428850204792	0.301889339736526	0.267910991870295	0.224468267163979
cg05001044	0.231791708522746	0.242226236945419	0.191854597076	0.149800058961382	0.148081941363838	0.207088211134789	0.209644104614423	0.185003111363877	0.156408314513075	0.152637685484581
cg03344490	0.289058842759169	0.236760763382539	0.241899707209047	0.171653657960269	0.16583399540779	0.175945703076251	0.169994793705938	0.166202301013685	0.189434958142626	0.134783290870263
cg17501828	0.393053584020575	0.381666549713248	0.391189461324707	0.29480966273439	0.342318228240483	0.35534307001842	0.330989653546177	0.324602788872712	0.362062304802138	0.343324949173348
cg23917638	0.408529135919898	0.435179346614061	0.382099938577477	0.343345389533156	0.314277739946109	0.297138000525521	0.467668856649741	0.459918714520119	0.448246445373685	0.295200278744965
cg18024856	0.137246334624398	0.11846243534603	0.0779091860657975	0.0468711975918918	0.0769087182301468	0.060257609887732	0.0462289385868311	0.0577964971816728	0.0758654137006673	0.0390915792272007
cg18761878	0.496504766033366	0.500698363693626	0.496450008287381	0.484326590738663	0.415034353830666	0.487269226603334	0.475978630107394	0.490396190512258	0.47178756665302	0.416218456847329
cg27534567	0.252247919632677	0.283187867187325	0.335140283184558	0.676411356155477	0.16885058865577	0.148115507156108	0.217366860194392	0.236231788438073	0.155461977174079	0.101188712339833
cg08858441	0.503458333514193	0.47601119480137	0.465884266568441	0.448484923662176	0.33541137476428	0.505362938721347	0.484241941087794	0.508887072676769	0.441283482666122	0.341883993732378
cg03348902	0.297476548877808	0.285984587275893	0.31362681540188	0.257393296444454	0.175928786126773	0.269769862149106	0.241823983606366	0.244866994907257	0.255966962591277	0.216716511223604
cg01070250	0.22386046327485	0.237654549004133	0.306264431138587	0.185102957522124	0.140136708400708	0.218044881387537	0.1603671847592	0.204077412595631	0.258594764702061	0.285543480955186
cg21996134	0.959354704908971	0.97181295249226	0.961161033821233	0.939505464436306	0.953449689770178	0.965190396909074	0.965923727324492	0.95523321911192	0.96524709748727	0.96755470689053
cg07264491	0.852075890012354	0.877154491874188	0.885946645482454	0.850307385999552	0.893886709657112	0.886464228760306	0.840206058174065	0.873272483219363	0.864129072219968	0.878261339557737
